Brand Name,Rating,MRP,Ram_size,Ram_type,Operating system,Disk_type,Disk_size
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
2,4.0,149990,1,1,1,1,1
3,4.8,36990,4,0,1,1,4
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
2,4.3,85990,1,0,0,1,1
5,4.2,60990,4,0,0,1,4
3,4.4,87900,4,1,1,1,4
6,4.0,27490,3,0,0,0,3
3,4.8,36990,4,0,1,1,4
2,4.3,249990,2,1,1,1,2
2,4.0,149990,1,1,1,1,1
10,4.1,39990,4,0,1,1,4
5,3.7,28999,4,0,1,0,4
3,4.4,87900,4,1,1,1,4
0,4.5,117990,1,0,0,0,1
6,4.2,38705,4,0,1,1,4
2,4.3,85990,1,0,0,1,1
3,4.3,61497,4,0,1,0,4
5,4.3,70400,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.0,69000,1,0,0,1,1
6,3.7,64490,4,0,1,1,4
2,4.3,149990,1,1,1,1,1
2,4.6,85990,1,0,1,1,1
5,4.3,96579,4,1,1,1,4
3,4.2,101990,1,0,1,1,1
2,3.8,89990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
5,4.3,94990,4,1,1,1,4
7,4.3,314990,2,1,1,1,2
3,4.3,46900,4,0,1,0,4
2,4.9,150990,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,331990,2,1,1,1,2
3,4.6,116490,1,1,1,1,1
5,4.3,64590,4,0,0,1,4
3,3.9,137990,1,1,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
3,4.1,55690,4,0,0,1,4
6,4.2,109990,1,0,0,1,1
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
2,4.3,79990,4,0,0,0,4
2,4.3,130500,1,0,1,1,1
2,4.3,361990,2,1,1,1,2
2,4.3,211990,1,1,1,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
3,4.4,39890,3,0,0,1,3
7,3.7,139990,1,0,1,1,1
6,4.5,73490,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
7,4.5,99990,1,0,0,0,1
5,4.5,66700,1,0,0,1,1
3,4.3,68990,4,0,0,0,4
3,4.3,434830,2,0,1,1,2
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
1,4.6,345390,2,0,0,1,2
5,4.3,105822,1,0,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.2,66990,1,0,0,1,1
0,3.5,86999,4,0,1,1,4
2,4.3,36990,4,0,0,1,4
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,3.7,23250,3,0,1,1,3
3,4.3,42390,4,0,0,1,4
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.2,58990,4,0,0,1,4
2,4.8,110990,1,0,0,1,1
0,4.6,74590,0,0,0,1,0
3,4.7,71990,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
6,4.3,84990,1,0,0,1,1
2,4.3,119990,1,4,1,1,1
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
7,4.3,214990,2,0,0,1,2
7,4.2,48790,4,0,0,1,4
3,4.3,76000,1,0,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
2,4.3,164990,1,4,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
5,3.9,31490,4,0,1,1,4
3,4.3,48077,4,0,1,1,4
2,4.6,154990,1,0,0,1,1
2,4.6,224990,2,0,0,1,2
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
2,3.9,44990,4,0,0,0,4
2,4.4,65990,4,0,0,1,4
6,4.5,73490,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
2,3.9,31990,4,0,0,0,4
6,5.0,38980,4,0,0,1,4
5,4.4,68990,4,0,0,1,4
3,4.0,43090,4,0,0,1,4
6,4.2,39990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
